lei,legal_name,review_priority_score,review_reason,review_status,entity_type,review_note,coverage_gap_priority_score,reason_flags,uie_country,uie_source,evidence_tier,uie_confidence,predicted_parent_country,prediction_probability,confidence_gap,top3_countries,top3_probabilities,direct_parent_name,direct_parent_country,ultimate_parent_name,ultimate_parent_country,ctos_registered_malaysia,ctos_name,ctos_match_score,ctos_match_method,override_reason,source_url,source_note,city,size_proxy,has_parent_link,has_ultimate_link,foreign_parent,is_non_consolidating,has_exception_filed,has_inferred_parent,in_address_cluster
254900YO3XKP0C4ZY729,AFS Global Limited,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,shared_address_cluster;missing_direct_parent;missing_ultimate_parent,GB,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9445,GB,0.9445,0.9115,GB;US;DE,0.9445;0.033;0.0133,,,,,0.0,,,,,,,Victoria,1.3976854846715725,0,0,0,0,1,0,1
254900UZANO7X02H0C46,AL WASL LIMITED,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,shared_address_cluster;missing_direct_parent;missing_ultimate_parent,MIDEAST_AFRICA,phase3_jurisdiction_model,E_model_predicted_jurisdiction,1.0,MIDEAST_AFRICA,1.0,0.9999,MIDEAST_AFRICA;GB;US,1.0;0.0;0.0,,,,,0.0,,,,,,,Labuan,1.3976854846715725,0,0,0,0,1,0,1
2138006CSOOSJCAAFR53,ALFA ASSETS GROUP LIMITED,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9364,DE,0.9364,0.8791,DE;US;OFFSHORE,0.9364;0.0572;0.0039,,,,,0.0,,,,,,,LABUAN,1.3976854846715725,0,0,0,1,1,0,0
549300FITJNP2AJ0GM23,ALFA TRADING LIMITED,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,GB,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.7577,GB,0.7577,0.5866,GB;US;DE,0.7577;0.1711;0.0674,,,,,0.0,,,,,,,VICTORIA,1.3976854846715725,0,0,0,1,1,0,0
2JJF46RULNMN5RTBEC18,ALLIANCE BANK MALAYSIA BERHAD,0.5391,validate_model_only_investor_economy,todo,financial_institution,,0.3590731048434652,non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.8535,DE,0.8535,0.768,DE;GB;US,0.8535;0.0855;0.0537,,,,,0.0,,,,,,,KUALA LUMPUR,1.3976854846715725,0,0,0,1,1,0,0
2549002EVHBTC4E55B50,ALLIANCES GLOBAL TECHNOLOGY SDN BHD,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.8105,DE,0.8105,0.6225,DE;US;SG,0.8105;0.188;0.0011,,,,,0.0,,,,,,,Bayan Lepas,1.3976854846715725,0,0,0,1,1,0,0
254900BSZ0H4RMTD8R46,ALLIARC LIMITED,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,shared_address_cluster;missing_direct_parent;missing_ultimate_parent,MIDEAST_AFRICA,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.975,MIDEAST_AFRICA,0.975,0.9508,MIDEAST_AFRICA;OFFSHORE;GB,0.975;0.0242;0.0004,,,,,0.0,,,,,,,Labuan,1.3976854846715725,0,0,0,0,1,0,1
5493004MWB63QC1HRR05,ALSTOM RENEWABLE MALAYSIA SDN. BHD.,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,shared_address_cluster;missing_direct_parent;missing_ultimate_parent,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9965,US,0.9965,0.9936,US;DE;SG,0.9965;0.0029;0.0003,,,,,0.0,,,,,,,KUALA LUMPUR,1.3976854846715725,0,0,0,0,1,0,1
549300Z9PXPL24PIRQ34,ALSTOM SERVICES SDN. BHD.,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,shared_address_cluster;missing_direct_parent;missing_ultimate_parent,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9767,US,0.9767,0.9595,US;DE;OFFSHORE,0.9767;0.0171;0.0048,,,,,0.0,,,,,,,KUALA LUMPUR,1.3976854846715725,0,0,0,0,1,0,1
2549001DUPNFSV5K0I33,AMANAH RAYA BERHAD,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,SG,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9828,SG,0.9828,0.966,SG;GB;OFFSHORE,0.9828;0.0168;0.0002,,,,,0.0,,,,,,,Kuala Lumpur,1.3976854846715725,0,0,0,1,1,0,0
549300Z0P8NDN88T2269,AMBANK ISLAMIC BERHAD,0.5391,validate_model_only_investor_economy,todo,financial_institution,,0.3590731048434652,shared_address_cluster;missing_direct_parent;missing_ultimate_parent,GB,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9806,GB,0.9806,0.9682,GB;DE;US,0.9806;0.0124;0.0035,,,,,0.0,,,,,,,KUALA LUMPUR,1.3976854846715725,0,0,0,0,0,0,1
984500D837C66BCE6790,AMERALD PROPERTIES SDN. BHD.,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9785,DE,0.9785,0.9687,DE;US;EUROPE,0.9785;0.0098;0.0064,,,,,0.0,,,,,,,Taman Pelangi,1.3976854846715725,0,0,0,1,1,0,0
5493008IBLS64L71NM85,AMINVESTMENT BANK BERHAD,0.5391,validate_model_only_investor_economy,todo,financial_institution,,0.3590731048434652,shared_address_cluster;missing_direct_parent;missing_ultimate_parent,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9046,DE,0.9046,0.865,DE;GB;OFFSHORE,0.9046;0.0395;0.028,,,,,0.0,,,,,,,KUALA LUMPUR,1.3976854846715725,0,0,0,0,0,0,1
5493009FLIL7LBCQ6451,AMWAY BUSINESS SERVICES ASIA PACIFIC SDN. BHD.,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9992,US,0.9992,0.9989,US;DE;EUROPE,0.9992;0.0003;0.0002,,,,,0.0,,,,,,,PETALING JAYA,1.3976854846715725,0,0,0,1,1,0,0
549300ENRQILT2OWM378,ARCUS SOUTH EAST ASIA SDN. BHD.,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.468,DE,0.468,0.1832,DE;EUROPE;GB,0.468;0.2848;0.2386,,,,,0.0,,,,,,,KUALA LUMPUR,1.3976854846715725,0,0,0,1,1,0,0
2549002FBZ9DJH90FX03,ASIA CAPITAL REINSURANCE MALAYSIA SDN. BHD.,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,SG,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.8249,SG,0.8249,0.7325,SG;DE;US,0.8249;0.0924;0.0802,,,,,0.0,,,,,,,Kuala Lumpur,1.3976854846715725,0,0,0,1,1,0,0
254900BKTLRAZX3X8U66,ASIA FILE PRODUCTS SDN. BHD.,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,GB,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.6435,GB,0.6435,0.2908,GB;DE;US,0.6435;0.3527;0.002,,,,,0.0,,,,,,,GEORGE TOWN,1.3976854846715725,0,0,0,1,1,0,0
