host_country,lei,legal_name,entity_country,direct_parent_lei,direct_parent_name,direct_parent_country,ultimate_parent_lei,ultimate_parent_name,ultimate_parent_country,chain_parent_lei,chain_parent_name,chain_parent_country,chain_parent_relationship_type,uie_lei,uie_name,uie_country,uie_source,evidence_tier,uie_confidence,is_known_uie,is_inferred_uie,is_non_consolidating,exception_reason,matched_parent_lei,matched_parent_name,matched_parent_country,brand_token,match_score,inferred_parent_lei,address_parent_name,address_parent_country,confidence,predicted_parent_country,prediction_probability,confidence_gap,top3_countries,top3_probabilities,ctos_registered_malaysia,ctos_name,ctos_registration_no,ctos_match_score,ctos_match_method,ctos_url,override_reason,source_url,source_note
SG,254900PMJHPQTYMMU851,Ocean View Investment Pte. Ltd.,SG,,,,,,,,,,,254900CBOBJXZV93MP29,CAPITALAND INDIA LOGISTICS II PTE. LTD.,SG,phase2_address_cluster,D_address_cluster,0.6,0,1,1,NON_CONSOLIDATING,,,,,,254900CBOBJXZV93MP29,CAPITALAND INDIA LOGISTICS II PTE. LTD.,SG,0.6,SG,0.2763,0.0424,SG;DE;HK,0.2763;0.2339;0.1558,0,,,,,,,,
SG,2549004ZSLWKSQC5OM33,Oceanic Singapore Holdings Pte Ltd,SG,,,,,,,,,,,335800DUDAG9SCWJEI08,MCPI PRIVATE LIMITED,IN,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NATURAL_PERSONS,,,,,,335800DUDAG9SCWJEI08,MCPI PRIVATE LIMITED,IN,0.6,MY,0.5573,0.3589,MY;US;KY,0.5573;0.1985;0.0459,0,,,,,,,,
SG,529900MQ8CL8FLAGEQ79,Oil India International Pte. Ltd.,SG,,,,,,,,,,,335800J8OBWE4VFUDG88,INDIAN OIL CORPORATION LIMITED,IN,phase2_address_cluster,D_address_cluster,0.6,0,1,1,NON_CONSOLIDATING,,,,,,335800J8OBWE4VFUDG88,INDIAN OIL CORPORATION LIMITED,IN,0.6,SG,0.3478,0.0828,SG;DE;US,0.3478;0.265;0.1829,0,,,,,,,,
SG,254900STD8V49A59XA85,Omega TC Holdings Pte. Ltd.,SG,,,,,,,,,,,254900STD8V49A59XA85,Omega TC Holdings Pte. Ltd.,SG,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NO_KNOWN_PERSON,,,,,,254900STD8V49A59XA85,Omega TC Holdings Pte. Ltd.,SG,0.6,KY,0.2522,0.0712,KY;US;HK,0.2522;0.181;0.142,0,,,,,,,,
SG,254900AK72ZT65LWAB60,Onchain Custodian Pte. Ltd.,SG,,,,,,,,,,,213800AHBF26AA9WL148,ICM LIMITED,BM,phase2_address_cluster,D_address_cluster,0.6,0,1,1,NON_CONSOLIDATING,,,,,,213800AHBF26AA9WL148,ICM LIMITED,BM,0.6,DE,0.4231,0.2418,DE;IN;HK,0.4231;0.1813;0.1234,0,,,,,,,,
SG,254900KNDUPSAMZZEW60,One North Capital Pte. Ltd.,SG,,,,,,,,,,,254900EMDPPO4B3OCU96,Rhodes Holding II S. à r.l.,LU,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NATURAL_PERSONS,,,,,,254900EMDPPO4B3OCU96,Rhodes Holding II S. à r.l.,LU,0.6,DE,0.195,0.0781,DE;CN;US,0.195;0.1169;0.1146,0,,,,,,,,
SG,254900FTFXQ0HR76CR81,One World Capital Holdings Private Limited,SG,,,,,,,,,,,549300ONES3WQ9KY7P17,"StarTek, Inc.",US,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NATURAL_PERSONS,,,,,,549300ONES3WQ9KY7P17,"StarTek, Inc.",US,0.6,US,0.6447,0.3808,US;AU;DE,0.6447;0.2639;0.0186,0,,,,,,,,
SG,254900TJ4LW5TFR36486,One World Capital Private Limited,SG,,,,,,,,,,,549300ONES3WQ9KY7P17,"StarTek, Inc.",US,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NATURAL_PERSONS,,,,,,549300ONES3WQ9KY7P17,"StarTek, Inc.",US,0.6,SG,0.2672,0.1277,SG;JP;EUROPE,0.2672;0.1395;0.1286,0,,,,,,,,
SG,9845005FAEA1381Q9F12,Onerock Global Capital VCC,SG,,,,,,,,,,,52990088V2922OUKG877,"BlueEarth SF Global Impact Fund, S.C.A., SICAV-RAIF",LU,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NATURAL_PERSONS,,,,,,52990088V2922OUKG877,"BlueEarth SF Global Impact Fund, S.C.A., SICAV-RAIF",LU,0.6,JE,0.4915,0.3315,JE;VG;SG,0.4915;0.16;0.1386,0,,,,,,,,
SG,254900TJBVYX48IUNZ26,Opera Investments Pte. Ltd.,SG,,,,,,,,,,,2138009KENVUNWOLPK41,JARDINE MATHESON HOLDINGS LIMITED,BM,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NON_PUBLIC,,,,,,2138009KENVUNWOLPK41,JARDINE MATHESON HOLDINGS LIMITED,BM,0.6,IN,0.5664,0.4303,IN;DE;US,0.5664;0.1362;0.0476,0,,,,,,,,
SG,254900QOTT8KUWU05672,Orchard Investment Holdings Pte. Ltd.,SG,,,,,,,,,,,549300393KL8JIDTTV54,YINSON PRODUCTION OFFSHORE PTE. LTD.,SG,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NATURAL_PERSONS,,,,,,549300393KL8JIDTTV54,YINSON PRODUCTION OFFSHORE PTE. LTD.,SG,0.6,DE,0.228,0.0165,DE;IN;US,0.228;0.2115;0.1497,0,,,,,,,,
